Date,close,high,low,open,volume
4/5/2006,2.400357246,2.400357246,2.291071415,2.311071396,2233408800
4/6/2006,2.544285774,2.573214293,2.435714245,2.439285755,2663768800
4/7/2006,2.492500067,2.543214321,2.445357084,2.533214331,1545238800
4/10/2006,2.452500105,2.533214331,2.444642782,2.510357141,903515200
4/11/2006,2.428214312,2.474999905,2.395357132,2.463928461,939316000
4/12/2006,2.382499933,2.434642792,2.367857218,2.428928614,739894400
4/13/2006,2.373928547,2.408571482,2.350357056,2.369285822,734678000
4/17/2006,2.314642906,2.387142897,2.298214197,2.375357151,721938000
4/18/2006,2.36500001,2.373928547,2.313928604,2.322857141,794844400
4/19/2006,2.344642878,2.392857075,2.338214397,2.386428595,1086033200
4/20/2006,2.415357113,2.5,2.364285707,2.482500076,1666982800
4/21/2006,2.394285679,2.451428652,2.373928547,2.435357094,788986800
4/24/2006,2.348214388,2.390000105,2.339285612,2.387500048,707028000
4/25/2006,2.363214254,2.378214359,2.341428518,2.355714321,529062800
4/26/2006,2.43392849,2.438571453,2.37142849,2.380357027,710886400
4/27/2006,2.477142811,2.494999886,2.405357122,2.418928623,845947200
4/28/2006,2.513928652,2.54642868,2.471428633,2.477857113,760037600
5/1/2006,2.485714197,2.555000067,2.470000029,2.527499914,750380400
5/2/2006,2.557857037,2.570714235,2.503928661,2.505357027,771663200
5/3/2006,2.540714264,2.569642782,2.50642848,2.565357208,686991200
5/4/2006,2.540357113,2.603214264,2.516428471,2.543571472,860420400
5/5/2006,2.567500114,2.580357075,2.541071415,2.566428661,563911600
5/8/2006,2.567500114,2.635714293,2.561428547,2.606785774,594851600
5/9/2006,2.536785603,2.591428518,2.522142887,2.565000057,531666800
5/10/2006,2.521428585,2.547499895,2.486071348,2.546071529,459888800
5/11/2006,2.43392849,2.529999971,2.412499905,2.528214216,812688800
5/12/2006,2.41785717,2.453214169,2.387857199,2.423214197,641774000
5/15/2006,2.421071529,2.442142963,2.397142887,2.406071424,529177600
5/16/2006,2.320714235,2.4375,2.3125,2.432142973,936740000
5/17/2006,2.330714226,2.346428633,2.288214207,2.311071396,754194000
5/18/2006,2.25642848,2.366428614,2.254285812,2.345714331,658442400
5/19/2006,2.303928614,2.317142963,2.24357152,2.259285688,985866000
